time_ms,ax,ay,az,gx,gy,gz,mx,my,mz,qw,qx,qy,qz,heading
12985173.0,0.03,0.1,-0.98,0.12,2.07,0.49,86.42,135.63,-29.11,0.0198,0.5159,0.8554,0.0432,32.5
12985185.0,0.04,0.11,-0.97,0.06,1.65,0.37,86.12,136.38,-28.36,0.0198,0.5159,0.8553,0.0432,32.27
12985197.0,0.02,0.1,-0.97,0.18,1.34,0.37,87.02,135.93,-28.51,0.0198,0.5159,0.8553,0.0432,32.63
12985209.0,-0.0,0.1,-0.98,0.12,0.79,0.37,85.37,136.83,-29.71,0.0198,0.5159,0.8553,0.0432,31.96
12985221.0,-0.05,0.1,-1.01,0.12,0.55,0.18,85.82,137.43,-29.11,0.0197,0.516,0.8553,0.0432,31.98
12985233.0,-0.07,0.1,-1.0,0.18,0.73,0.12,85.97,136.23,-28.81,0.0197,0.516,0.8553,0.0432,32.25
12985245.0,-0.06,0.1,-1.02,0.24,1.16,0.37,87.02,136.23,-27.76,0.0196,0.516,0.8553,0.0433,32.57
12985257.0,-0.05,0.09,-1.01,0.18,1.59,0.43,85.82,135.63,-28.36,0.0197,0.516,0.8553,0.0433,32.32
12985269.0,-0.0,0.09,-1.0,0.12,2.01,0.43,86.12,136.83,-28.66,0.0197,0.516,0.8553,0.0433,32.19
12985281.0,0.01,0.09,-0.99,0.18,2.01,0.37,86.72,138.03,-28.51,0.0197,0.5161,0.8552,0.0433,32.14
12985293.0,0.03,0.1,-0.99,0.06,1.77,0.43,85.07,137.13,-28.36,0.0197,0.5161,0.8552,0.0432,31.81
12985305.0,0.02,0.1,-0.97,0.06,1.22,0.37,84.92,137.28,-29.26,0.0197,0.5161,0.8552,0.0432,31.74
12985317.0,-0.02,0.11,-0.97,0.24,0.91,0.3,85.52,136.23,-28.21,0.0197,0.5161,0.8552,0.0432,32.12
12985329.0,-0.04,0.11,-0.98,0.3,0.73,0.3,87.92,137.13,-27.61,0.0197,0.5161,0.8552,0.0432,32.67
12985341.0,-0.06,0.09,-1.04,0.37,0.73,0.24,86.27,136.98,-28.51,0.0196,0.5162,0.8552,0.0432,32.2
12985352.0,-0.07,0.07,-1.05,0.24,0.98,0.24,86.42,136.83,-28.36,0.0196,0.5162,0.8552,0.0432,32.28
12985364.0,-0.04,0.09,-0.97,0.12,1.34,0.67,86.87,137.43,-29.41,0.0196,0.5162,0.8552,0.0431,32.3
12985376.0,-0.01,0.09,-1.01,0.0,1.83,0.37,86.12,136.83,-28.36,0.0196,0.5162,0.8551,0.0432,32.19
12985388.0,0.01,0.09,-1.01,0.3,2.07,0.43,84.47,136.98,-30.61,0.0196,0.5163,0.8551,0.0431,31.66
12985400.0,0.03,0.1,-1.0,0.24,1.83,0.3,87.02,137.73,-29.26,0.0196,0.5163,0.8551,0.0431,32.29
12985412.0,0.02,0.11,-0.98,0.0,1.34,0.43,85.52,136.23,-28.51,0.0196,0.5163,0.8551,0.043,32.12
